Fuente;Reporte UNCTAD;Título reporte;Archivo bulk;Nombre archivo;Tamaño bytes;Estado;Registros extraídos;Valores extraídos;URL bulk
UNCTADstat - UNCTAD;US.TradeServCatTotal;Services: Trade by category - Annual;US_TradeServCatTotal;From 2005 to 2025;10102418;Procesado;2949;4793;https://unctadstat-api.unctad.org/bulkdownload/US.TradeServCatTotal/US_TradeServCatTotal
UNCTADstat - UNCTAD;US.TradeServCatByPartner;Services: Bilateral trade by category - Annual;US_TradeServCatByPartner;From 2005 to 2025;85648480;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeServCatByPartner/US_TradeServCatByPartner
UNCTADstat - UNCTAD;US.CreativeGoodsValue;Creative goods matrix, annual (analytical);US_CreativeGoodsValue;From 2002 to 2024;335041684;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CreativeGoodsValue/US_CreativeGoodsValue
UNCTADstat - UNCTAD;US.CreativeGoodsGR;Creative goods matrix, growth rates, annual (analytical);US_CreativeGoodsGR;The whole dataset;196623315;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CreativeGoodsGR/US_CreativeGoodsGR
UNCTADstat - UNCTAD;US.CreativeServ_Indiv_Tot;International trade in creative services: estimates for individual economies (analytical);US_CreativeServ_Indiv_Tot;From 2010 to 2024;62133;Procesado;30;14;https://unctadstat-api.unctad.org/bulkdownload/US.CreativeServ_Indiv_Tot/US_CreativeServ_Indiv_Tot
UNCTADstat - UNCTAD;US.CreativeServ_Group_E;Creative services exports of selected groups of economies (analytical);US_CreativeServ_Group_E;From 2010 to 2024;15132;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CreativeServ_Group_E/US_CreativeServ_Group_E
UNCTADstat - UNCTAD;US.CriticalMinerals_TradeByPart;Critical minerals: Bilateral trade by product group - Annual (analytical);US_CriticalMinerals_TradeByPart;From 2002 to 2024;544826561;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CriticalMinerals_TradeByPart/US_CriticalMinerals_TradeByPart
UNCTADstat - UNCTAD;US.TradeFoodCatByProc;Trade by food category, detailed by food processing (analytical);US_TradeFoodCatByProc_19952009;From 1995 to 2009;1242404356;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeFoodCatByProc/US_TradeFoodCatByProc_19952009
UNCTADstat - UNCTAD;US.TradeFoodCatByProc;Trade by food category, detailed by food processing (analytical);US_TradeFoodCatByProc_20102023;From 2010 to 2023;1340230133;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeFoodCatByProc/US_TradeFoodCatByProc_20102023
UNCTADstat - UNCTAD;US.TradeFoodProcCat_Cat_RCA;Trade by food category, detailed by food processing, RCA (analytical);US_TradeFoodProcCat_Cat_RCA;From 1995 to 2023;3467211;Procesado;2589;2589;https://unctadstat-api.unctad.org/bulkdownload/US.TradeFoodProcCat_Cat_RCA/US_TradeFoodProcCat_Cat_RCA
UNCTADstat - UNCTAD;US.TradeFoodProcByCat;Trade by food processing, detailed by food category (analytical);US_TradeFoodProcByCat_19952009;From 1995 to 2009;1099284426;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeFoodProcByCat/US_TradeFoodProcByCat_19952009
UNCTADstat - UNCTAD;US.TradeFoodProcByCat;Trade by food processing, detailed by food category (analytical);US_TradeFoodProcByCat_20102023;From 2010 to 2023;1185807554;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeFoodProcByCat/US_TradeFoodProcByCat_20102023
UNCTADstat - UNCTAD;US.TradeFoodProcCat_Proc_RCA;Trade by food processing, detailed by food category, RCA (analytical);US_TradeFoodProcCat_Proc_RCA;From 1995 to 2023;3796561;Procesado;2845;2845;https://unctadstat-api.unctad.org/bulkdownload/US.TradeFoodProcCat_Proc_RCA/US_TradeFoodProcCat_Proc_RCA
UNCTADstat - UNCTAD;US.GDPTotal;Gross domestic product: Total and per capita - Annual;US_GDPTotal;From 1970 to 2025;425702;Procesado;56;332;https://unctadstat-api.unctad.org/bulkdownload/US.GDPTotal/US_GDPTotal
UNCTADstat - UNCTAD;US.GDPComponent;Gross domestic product: GDP by type of expenditure, VA by kind of economic activity, total and shares, annual;US_GDPComponent;From 1970 to 2024;4425120;Procesado;1045;3135;https://unctadstat-api.unctad.org/bulkdownload/US.GDPComponent/US_GDPComponent
UNCTADstat - UNCTAD;US.GNI;DISCONTINUED - Nominal GNI, total and per capita, annual;US_GNI;The whole period;145178;Procesado;51;102;https://unctadstat-api.unctad.org/bulkdownload/US.GNI/US_GNI
UNCTADstat - UNCTAD;US.GoodsAndServicesBpm6;Balance of payments: Goods and services trade - Annual;US_GoodsAndServicesBpm6;From 2005 to 2024;362860;Procesado;120;174;https://unctadstat-api.unctad.org/bulkdownload/US.GoodsAndServicesBpm6/US_GoodsAndServicesBpm6
UNCTADstat - UNCTAD;US.GoodsAndServBalanceBpm6;Balance of payments: Goods and services trade balance indicators - Annual;US_GoodsAndServBalanceBpm6;From 2005 to 2024;305732;Procesado;60;180;https://unctadstat-api.unctad.org/bulkdownload/US.GoodsAndServBalanceBpm6/US_GoodsAndServBalanceBpm6
UNCTADstat - UNCTAD;US.GoodsAndServTradeOpennessBpm6;Balance of payments: Goods and services trade openness indicators - Annual;US_GoodsAndServTradeOpennessBpm6;From 2005 to 2024;859488;Procesado;240;360;https://unctadstat-api.unctad.org/bulkdownload/US.GoodsAndServTradeOpennessBpm6/US_GoodsAndServTradeOpennessBpm6
UNCTADstat - UNCTAD;US.CurrAccBalance;Balance of payments, Current account balance, annual;US_CurrAccBalance;From 1980 to 2024;120600;Procesado;45;74;https://unctadstat-api.unctad.org/bulkdownload/US.CurrAccBalance/US_CurrAccBalance
UNCTADstat - UNCTAD;US.FdiFlowsStock;Foreign direct investment: Inward and outward flows and stock, annual;US_FdiFlowsStock;From 1990 to 2025;676265;Procesado;144;576;https://unctadstat-api.unctad.org/bulkdownload/US.FdiFlowsStock/US_FdiFlowsStock
UNCTADstat - UNCTAD;US.Remittances;Personal remittances: receipts and payments, annual;US_Remittances;From 2000 to 2024;69641;Procesado;20;40;https://unctadstat-api.unctad.org/bulkdownload/US.Remittances/US_Remittances
UNCTADstat - UNCTAD;US.PCI;Productive capacities index, annual, 2000-2024 (analytical);US_PCI;From 2000 to 2024;292674;Procesado;225;225;https://unctadstat-api.unctad.org/bulkdownload/US.PCI/US_PCI
UNCTADstat - UNCTAD;US.Cpi_A;Consumer price indices, annual (analytical);US_Cpi_A;From 1980 to 2025;81423;Procesado;46;91;https://unctadstat-api.unctad.org/bulkdownload/US.Cpi_A/US_Cpi_A
UNCTADstat - UNCTAD;US.ExchangeRateCrosstab;Exchange rates: Currency cross rates - Annual;US_ExchangeRateCrosstab;From 1970 to 2025;18056762;Procesado;26488;23205;https://unctadstat-api.unctad.org/bulkdownload/US.ExchangeRateCrosstab/US_ExchangeRateCrosstab
UNCTADstat - UNCTAD;US.UCPI_A;Commodity prices: UNCTAD Commodity Price Index - Annual;US_UCPI_A;From 1995 to 2025;4615;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.UCPI_A/US_UCPI_A
UNCTADstat - UNCTAD;US.UCPI_M;Commodity prices: UNCTAD Commodity Price Index - Monthly;US_UCPI_M;From 1995 to 2026;66860;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.UCPI_M/US_UCPI_M
UNCTADstat - UNCTAD;US.CommodityPriceIndices_A;DISCONTINUED - UNCTAD Commodity Price Index, 1995-2024, annual (2015=100);US_CommodityPriceIndices_A;From 1995 to 2025;4522;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CommodityPriceIndices_A/US_CommodityPriceIndices_A
