Fuente;Reporte UNCTAD;Título reporte;Archivo bulk;Nombre archivo;Tamaño bytes;Estado;Registros extraídos;Valores extraídos;URL bulk
UNCTADstat - UNCTAD;US.EnvironmentalGoodsTrade;Total trade in green industrial goods (analytical);US_EnvironmentalGoodsTrade;From 1995 to 2024;2673479;Procesado;439;1716;https://unctadstat-api.unctad.org/bulkdownload/US.EnvironmentalGoodsTrade/US_EnvironmentalGoodsTrade
UNCTADstat - UNCTAD;US.EnvironmentalGoodsRCA;Green industrial goods trade, Revealed comparative advantage index, annual (analytical);US_EnvironmentalGoodsRCA;From 1995 to 2024;1021401;Procesado;439;439;https://unctadstat-api.unctad.org/bulkdownload/US.EnvironmentalGoodsRCA/US_EnvironmentalGoodsRCA
UNCTADstat - UNCTAD;US.WastewaterTreatment;Industrial wastewater treatment technologies (analytical);US_WastewaterTreatment;From 1995 to 2024;241521;Procesado;37;145;https://unctadstat-api.unctad.org/bulkdownload/US.WastewaterTreatment/US_WastewaterTreatment
UNCTADstat - UNCTAD;US.IctProductionSector;ICT producing sector: Workforce involved and value added - Annual;US_IctProductionSector;From 2010 to 2024;6495;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.IctProductionSector/US_IctProductionSector
UNCTADstat - UNCTAD;US.IctGoods;ICT goods: Bilateral trade by category - Annual;US_IctGoods;From 2000 to 2024;115739203;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.IctGoods/US_IctGoods
UNCTADstat - UNCTAD;US.IctUseLocation;ICT use in business: Core indicators by location type - Annual;US_IctUseLocation;From 2010 to 2024;8295;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.IctUseLocation/US_IctUseLocation
UNCTADstat - UNCTAD;US.IctUseEnterprSize;ICT use in business: Core indicators by enterprise size - Annual;US_IctUseEnterprSize;From 2010 to 2025;222567;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.IctUseEnterprSize/US_IctUseEnterprSize
UNCTADstat - UNCTAD;US.IctUseEconActivity_Isic4;ICT use in business: Core indicators by economic activity (ISIC Rev. 4) - Annual;US_IctUseEconActivity_Isic4;From 2010 to 2025;663946;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.IctUseEconActivity_Isic4/US_IctUseEconActivity_Isic4
UNCTADstat - UNCTAD;US.IctUseEconActivity;ICT use in business: Core indicators by economic activity (ISIC Rev. 3.1) - Annual;US_IctUseEconActivity;From 2010 to 2021;83239;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.IctUseEconActivity/US_IctUseEconActivity
UNCTADstat - UNCTAD;US.DigitallyDeliverableServices;Digitally deliverable services: Trade – Annual (analytical);US_DigitallyDeliverableServices;From 2010 to 2024;1525091;Procesado;420;577;https://unctadstat-api.unctad.org/bulkdownload/US.DigitallyDeliverableServices/US_DigitallyDeliverableServices
UNCTADstat - UNCTAD;US.TradeServICT;ICT services: Trade – Annual;US_TradeServICT;From 2005 to 2024;141178;Procesado;40;94;https://unctadstat-api.unctad.org/bulkdownload/US.TradeServICT/US_TradeServICT
UNCTADstat - UNCTAD;US.ECommerceTotal;E-commerce: Domestic and international sales - Annual (analytical);US_ECommerceTotal;From 2012 to 2025;906006;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.ECommerceTotal/US_ECommerceTotal
UNCTADstat - UNCTAD;US.ECommerceInternational;E-commerce: International digitally ordered trade, bilateral – Annual (analytical);US_ECommerceInternational;From 2015 to 2024;139183;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.ECommerceInternational/US_ECommerceInternational
UNCTADstat - UNCTAD;US.FTRI;Frontier technology readiness index, annual (analytical);US_FTRI;From 2010 to 2023;62747;Procesado;84;84;https://unctadstat-api.unctad.org/bulkdownload/US.FTRI/US_FTRI
UNCTADstat - UNCTAD;US.PopTotal;Population: Total - Annual;US_PopTotal;From 1950 to 2050;374021;Procesado;101;302;https://unctadstat-api.unctad.org/bulkdownload/US.PopTotal/US_PopTotal
UNCTADstat - UNCTAD;US.PopAgeStruct;Population: Structure by gender and age group - Annual;US_PopAgeStruct;From 1950 to 2050;12550832;Procesado;6666;6666;https://unctadstat-api.unctad.org/bulkdownload/US.PopAgeStruct/US_PopAgeStruct
UNCTADstat - UNCTAD;US.PopDependency;Population: Dependency ratios - Annual;US_PopDependency;From 1950 to 2050;494161;Procesado;303;303;https://unctadstat-api.unctad.org/bulkdownload/US.PopDependency/US_PopDependency
UNCTADstat - UNCTAD;US.InclusiveGrowth;Inclusive Growth Index (IGI) (analytical);US_InclusiveGrowth;From 2023 to 2023;4221;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.InclusiveGrowth/US_InclusiveGrowth
UNCTADstat - UNCTAD;US.Gender_DomesticValueAdded;Domestic value added content in gross exports by sex and broad sector (analytical);US_Gender_DomesticValueAdded;From 2000 to 2020;97680;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.Gender_DomesticValueAdded/US_Gender_DomesticValueAdded
UNCTADstat - UNCTAD;US.Gender_TradableIndustries;Employment and average monthly earnings in tradable and non-tradable industries (analytical);US_Gender_TradableIndustries;From 2000 to 2023;176441;Procesado;40;80;https://unctadstat-api.unctad.org/bulkdownload/US.Gender_TradableIndustries/US_Gender_TradableIndustries
UNCTADstat - UNCTAD;US.SDG_LULFRG;Indicator 9.1.2: Freight loaded and unloaded, maritime transport (metric tons) [IS_RDP_LULFRG];US_SDG_LULFRG;From 2000 to 2024;46857;Procesado;25;25;https://unctadstat-api.unctad.org/bulkdownload/US.SDG_LULFRG/US_SDG_LULFRG
UNCTADstat - UNCTAD;US.SDG_PORFVOL;Indicator 9.1.2: Container port traffic, maritime transport (twenty-foot equivalent units – TEUs) [IS_RDP_PORFVOL];US_SDG_PORFVOL;From 2010 to 2024;15386;Procesado;15;12;https://unctadstat-api.unctad.org/bulkdownload/US.SDG_PORFVOL/US_SDG_PORFVOL
UNCTADstat - UNCTAD;US.IFF_TradeMisinvoicing;Indicator 16.4.1: Trade misinvoicing illicit financial flows - Annual;US_IFF_TradeMisinvoicing;From 2011 to 2024;3342;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.IFF_TradeMisinvoicing/US_IFF_TradeMisinvoicing
UNCTADstat - UNCTAD;US.IFF_CrimesRelated;Indicator 16.4.1: Crime-related illicit financial flows - Annual;US_IFF_CrimesRelated;From 2015 to 2025;2046;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.IFF_CrimesRelated/US_IFF_CrimesRelated
