Fuente;País;ID indicador CEPALSTAT;Indicador;Tema;Área;Ruta temática;Unidad;Número de registros;Primer periodo;Último periodo;Último valor disponible;Última actualización indicador;Estado descarga;Error descarga;Archivo valores CSV.GZ;Archivo catálogo JSON;Archivo catálogo Excel;URL API;URL fuente
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);872;Depósitos de ahorro, fin de período;Estadísticas e Indicadores Económicos;Indicadores monetarios;Clasificación temática general > Económicos > Sector financiero y monetario > Indicadores monetarios;Millones de unidades en moneda nacional;486;1996;2024;94.8;Apr 15 2026  4:06PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/872/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);862;Dinero (M1), fin de período;Estadísticas e Indicadores Económicos;Indicadores monetarios;Clasificación temática general > Económicos > Sector financiero y monetario > Indicadores monetarios;Millones de unidades en moneda nacional;486;1996;2024;89310.2;Jan  2 2025  5:19PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/862/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);868;Liquidez monetaria (M2), fin de período;Estadísticas e Indicadores Económicos;Indicadores monetarios;Clasificación temática general > Económicos > Sector financiero y monetario > Indicadores monetarios;Millones de unidades en moneda nacional;486;1996;2024;89414.0;Apr 15 2026  4:05PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/868/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);1239;Saldo de la deuda pública en millones de dólares;Estadísticas e Indicadores Económicos;ESTADÍSTICAS DE FINANZAS PÚBLICAS: Saldos de la deuda pública;Clasificación temática general > Económicos > Sector público > Deuda pública;En millones de dólares americanos a precios corrientes;126;1996;2016;148707.0;Apr 15 2026  4:04PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/1239/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);1240;Saldo de la deuda pública en porcentajes del PIB;Estadísticas e Indicadores Económicos;ESTADÍSTICAS DE FINANZAS PÚBLICAS: Saldos de la deuda pública;Clasificación temática general > Económicos > Sector público > Deuda pública;En porcentajes del producto interno bruto;66;1996;2017;34.9;May  2 2026  4:24PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/1240/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);4409;Gasto público por función, en moneda nacional;Estadísticas e Indicadores Económicos;ESTADÍSTICAS DE FINANZAS PÚBLICAS: Gasto público por función;Clasificación temática general > Económicos > Sector público > Gasto público por función;Millones de moneda nacional;522;1997;2014;1106805.677;Jul  8 2021  2:34PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/4409/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);4410;Gasto público por función, en porcentajes del PIB;Estadísticas e Indicadores Económicos;ESTADÍSTICAS DE FINANZAS PÚBLICAS: Gasto público por función;Clasificación temática general > Económicos > Sector público > Gasto público por función;Porcentajes del PIB;522;1997;2014;36.513268;Jul  8 2021  4:20PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/4410/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);3354;Ingresos públicos provenientes de recursos naturales no renovables en dólares a precios corrientes;Estadísticas e Indicadores Económicos;ESTADÍSTICAS DE FINANZAS PÚBLICAS: Ingresos públicos provenientes de recursos naturales no renovables;Clasificación temática general > Económicos > Sector público > Ingresos públicos > Ingresos fiscales provenientes de recursos naturales no renovables;Millones de dólares;162;1990;2016;26978.3107;May  3 2026  8:48PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/3354/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);3353;Ingresos públicos provenientes de recursos naturales no renovables en moneda nacional a precios corrientes;Estadísticas e Indicadores Económicos;ESTADÍSTICAS DE FINANZAS PÚBLICAS: Ingresos públicos provenientes de recursos naturales no renovables;Clasificación temática general > Económicos > Sector público > Ingresos públicos > Ingresos fiscales provenientes de recursos naturales no renovables;Millones de moneda nacional a precios corrientes;162;1990;2016;2422688.598;May  3 2026  8:24PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/3353/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);3352;Ingresos públicos provenientes de recursos naturales no renovables en porcentajes del PIB;Estadísticas e Indicadores Económicos;ESTADÍSTICAS DE FINANZAS PÚBLICAS: Ingresos públicos provenientes de recursos naturales no renovables;Clasificación temática general > Económicos > Sector público > Ingresos públicos > Ingresos fiscales provenientes de recursos naturales no renovables;Porcentajes del PIB;162;1990;2016;10.2;May  3 2026  8:38PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/3352/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);821;Ingresos tributarios por tipo de impuestos en porcentajes del PIB (América Latina y el Caribe);Estadísticas e Indicadores Económicos;ESTADÍSTICAS DE FINANZAS PÚBLICAS: Ingresos tributarios;Clasificación temática general > Económicos > Sector público > Ingresos públicos > Ingresos tributarios;En porcentajes del producto interno bruto;295;1990;2013;1.1863;Apr 15 2026  4:03PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/821/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);845;Ingresos tributarios por tipo de impuestos, en moneda nacional a precios corrientes (América Latina y el Caribe);Estadísticas e Indicadores Económicos;ESTADÍSTICAS DE FINANZAS PÚBLICAS: Ingresos tributarios;Clasificación temática general > Económicos > Sector público > Ingresos públicos > Ingresos tributarios;Moneda nacional a precios corrientes;295;1990;2013;26643000.0;Apr 15 2026  4:03PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/845/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);1259;Operaciones de gobierno (clasificación económica), en moneda nacional a precios corrientes;Estadísticas e Indicadores Económicos;ESTADÍSTICAS DE FINANZAS PÚBLICAS: Operaciones de gobierno;Clasificación temática general > Económicos > Sector público > Operaciones de gobierno;En moneda nacional a precios corrientes;732;1990;2016;1430704561.0;Apr 15 2026  4:04PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/1259/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);1246;Operaciones del gobierno (clasificación económica), en porcentajes del PIB;Estadísticas e Indicadores Económicos;ESTADÍSTICAS DE FINANZAS PÚBLICAS: Operaciones de gobierno;Clasificación temática general > Económicos > Sector público > Operaciones de gobierno;En porcentajes del producto interno bruto;712;1990;2015;19.2572;Apr 15 2026  4:04PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/1246/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);2053;Personas que opinan que la distribución del ingreso en su país es injusta, por sexo;Estadísticas e Indicadores Sociales;Distribución del ingreso;Clasificación temática general > Temas transversales > Cohesión social > Brechas > Garantías de bienestar;Porcentaje;42;1997;2024;87.0;Oct 30 2025  5:01PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/2053/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);2119;Población de 20 a 24 años con educación secundaria completa, por sexo y área;Estadísticas e Indicadores Sociales;Educación;Clasificación temática general > Temas transversales > Cohesión social > Brechas > Garantías de bienestar;Porcentaje;45;2000;2014;72.5999984741211;Oct 30 2025  5:09PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/2119/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);4620;Población en hogares con hacinamiento por sexo, quintiles y  área;Estadísticas e Indicadores Sociales;Vivienda y Servicios Básicos;Clasificación temática general > Temas transversales > Cohesión social > Brechas > Garantías de bienestar;Porcentaje;270;2000;2014;48.29999923706055;Oct 30 2025  5:19PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/4620/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);3328;Población en situación de pobreza extrema y pobreza, por área;Estadísticas e Indicadores Sociales;Pobreza;Clasificación temática general > Temas transversales > Cohesión social > Brechas > Garantías de bienestar;Porcentaje;30;2000;2014;28.299999237060547;Nov 27 2025  9:26AM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/3328/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);990;Población ocupada preocupada por perder su empleo, por tipo de ocupación;Estadísticas e Indicadores Sociales;Ocupación;Clasificación temática general > Temas transversales > Cohesión social > Brechas > Garantías de bienestar;Porcentaje;69;1996;2024;52.0;Oct 30 2025  5:06PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/990/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
