País;Código país;Indicador;Código indicador;Descripción indicador;Frecuencia;Periodo;Año;Valor;Unidad;Escala;Decimales;Tipo dato;Fecha actualización país;Fuente;URL fuente
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1993;1993;-1992767000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1994;1994;2623000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1995;1995;2136000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1996;1996;8989000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1997;1997;3732000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1998;1998;-4432000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1999;1999;2112000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;2000;2000;11853000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;2001;2001;1983000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;2002;2002;7599000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
