dataset_id,title,table,source_file,base,price_type,measure,frequency,period,year,quarter,classification,component,value,unit,status,source,source_url,fetched_at
bcv_pib_historico_anual,Producto interno bruto histórico anual,PIB histórico anual,7_1_14_anual.xls,Escala monetaria vigente desde 2018,Precios corrientes,Nivel,Anual,1961,1961,,Total economía,Producto interno bruto,27024,Millones de bolívares corrientes,,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/7_1_14_anual.xls,2026-08-14T20:55:16Z
bcv_pib_historico_anual,Producto interno bruto histórico anual,PIB histórico anual,7_1_14_anual.xls,1957/1968/1984/1997,Precios constantes,Nivel,Anual,1962,1962,,Total economía,Producto interno bruto,31050,Millones de bolívares a precios constantes,,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/7_1_14_anual.xls,2026-08-14T20:55:16Z
bcv_pib_historico_anual,Producto interno bruto histórico anual,PIB histórico anual,7_1_14_anual.xls,Escala monetaria vigente desde 2018,Precios corrientes,Nivel,Anual,1962,1962,,Total economía,Producto interno bruto,29525,Millones de bolívares corrientes,,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/7_1_14_anual.xls,2026-08-14T20:55:16Z
bcv_pib_historico_anual,Producto interno bruto histórico anual,PIB histórico anual,7_1_14_anual.xls,1957/1968/1984/1997,Precios constantes,Nivel,Anual,1963,1963,,Total economía,Producto interno bruto,33177,Millones de bolívares a precios constantes,,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/7_1_14_anual.xls,2026-08-14T20:55:16Z
bcv_pib_historico_anual,Producto interno bruto histórico anual,PIB histórico anual,7_1_14_anual.xls,Escala monetaria vigente desde 2018,Precios corrientes,Nivel,Anual,1963,1963,,Total economía,Producto interno bruto,32186,Millones de bolívares corrientes,,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/7_1_14_anual.xls,2026-08-14T20:55:16Z
bcv_pib_historico_anual,Producto interno bruto histórico anual,PIB histórico anual,7_1_14_anual.xls,1957/1968/1984/1997,Precios constantes,Nivel,Anual,1964,1964,,Total economía,Producto interno bruto,36407,Millones de bolívares a precios constantes,,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/7_1_14_anual.xls,2026-08-14T20:55:16Z
bcv_pib_historico_anual,Producto interno bruto histórico anual,PIB histórico anual,7_1_14_anual.xls,Escala monetaria vigente desde 2018,Precios corrientes,Nivel,Anual,1964,1964,,Total economía,Producto interno bruto,35637,Millones de bolívares corrientes,,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/7_1_14_anual.xls,2026-08-14T20:55:16Z
bcv_pib_historico_anual,Producto interno bruto histórico anual,PIB histórico anual,7_1_14_anual.xls,1957/1968/1984/1997,Precios constantes,Nivel,Anual,1965,1965,,Total economía,Producto interno bruto,38543,Millones de bolívares a precios constantes,,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/7_1_14_anual.xls,2026-08-14T20:55:16Z
bcv_pib_historico_anual,Producto interno bruto histórico anual,PIB histórico anual,7_1_14_anual.xls,Escala monetaria vigente desde 2018,Precios corrientes,Nivel,Anual,1965,1965,,Total economía,Producto interno bruto,37925,Millones de bolívares corrientes,,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/7_1_14_anual.xls,2026-08-14T20:55:16Z
bcv_pib_historico_anual,Producto interno bruto histórico anual,PIB histórico anual,7_1_14_anual.xls,1957/1968/1984/1997,Precios constantes,Nivel,Anual,1966,1966,,Total economía,Producto interno bruto,39444,Millones de bolívares a precios constantes,,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/cuentas_macroeconomicas/7_1_14_anual.xls,2026-08-14T20:55:16Z
