Fuente;País;Frecuencia;Código indicador;Indicador;Tema;Base de datos;Dimensiones disponibles;Número de series;Número de registros;Primer periodo;Último periodo;Último periodo con dato;Último valor disponible;Última actualización OIT;Archivo datos comprimidos
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_EC2_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo y actividad económica - nivel 2 de la CIIU;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica - nivel 2 de la ciiu;150;1495;2005;2017;2017;38.65;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_ECO_EDU_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo, actividad económica y educación;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica, educación;1562;12887;2005;2017;2017;38.65;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_ECO_EST_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo, actividad económica y tamaño del establecimiento;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica, tamaño del establecimiento;827;6578;2005;2017;2017;38.65;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_ECO_INS_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo, actividad económica y sector público/privado;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica, sector público/privado;297;2947;2005;2017;2017;38.65;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_ECO_MTS_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo, actividad económica y estado civil;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica, estado civil;462;4390;2005;2017;2017;38.65;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_ECO_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo y actividad económica;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, actividad económica;99;990;2005;2017;2017;38.65;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_EST_MTS_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo, tamaño del establecimiento y estado civil;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, tamaño del establecimiento, estado civil;425;3303;2005;2017;2017;38.65;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_EST_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo y tamaño del establecimiento;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, tamaño del establecimiento;39;309;2005;2017;2017;38.65;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_INS_MTS_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo, sector público/privado y estado civil;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, sector público/privado, estado civil;99;984;2005;2017;2017;38.65;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_INS_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo y sector público/privado;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, sector público/privado;9;90;2005;2017;2017;38.65;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo;3;30;2005;2017;2017;38.65;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
